  time            xs              dxs/dt          xu              dxu/dt

  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
  1.2000000e-001  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
  2.4000000e-001  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
  3.6000000e-001  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
  4.8000000e-001  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
  6.0000000e-001  5.3059777e-003  1.8655473e-001  2.8594050e-002  5.8845005e-001
  7.2000000e-001  5.6009863e-002  6.0275481e-001  9.6498148e-002  3.3214309e-001
  8.4000000e-001  1.1581561e-001  2.2817763e-001  8.1726788e-002 -5.3346965e-001
  9.6000000e-001  9.1269160e-002 -5.8838693e-001  1.0875722e-002 -4.1997108e-001
  1.0800000e+000  1.1157101e-002 -6.0921800e-001 -3.3061540e-003 -6.3347125e-002
  1.2000000e+000 -3.9448403e-002 -2.0977320e-001 -5.0714488e-003  7.5007997e-003
  1.3200000e+000 -4.1535484e-002  1.4060922e-001 -2.6856288e-003  2.6897254e-002
  1.4400000e+000 -1.6109330e-002  2.3974192e-001  2.9844540e-004  1.9926744e-002
  1.5600000e+000  7.9130385e-003  1.3999219e-001  1.7174360e-003  3.6048375e-003
  1.6800000e+000  1.5821371e-002 -3.3401751e-003  1.3859877e-003 -7.5124139e-003
  1.8000000e+000  9.9768811e-003 -7.8572661e-002  3.2093461e-004 -8.7249066e-003
  1.9200000e+000  4.4425693e-004 -6.8956739e-002 -4.5906766e-004 -3.7834091e-003
  2.0400000e+000 -4.9853077e-003 -1.9686532e-002 -5.8671364e-004  1.2914317e-003
  2.1600000e+000 -4.7293439e-003  1.9493866e-002 -2.8049572e-004  3.2117864e-003
  2.2800000e+000 -1.5679579e-003  2.8181432e-002  6.4044809e-005  2.1918949e-003
  2.4000000e+000  1.1408083e-003  1.4856576e-002  2.0914844e-004  2.4287865e-004
  2.5200000e+000  1.8737203e-003 -1.8334715e-003  1.5370586e-004 -9.6695940e-004
  2.6400000e+000  1.0715895e-003 -9.6703191e-003  2.5554763e-005 -9.9890803e-004
  2.7600000e+000 -4.6400164e-005 -7.7189199e-003 -5.9951138e-005 -3.8049736e-004
  2.8800000e+000 -6.2021961e-004 -1.7315023e-003 -6.7811768e-005  1.9870583e-004
  3.0000000e+000 -5.3349772e-004  2.6076693e-003 -2.8633052e-005  3.8605112e-004
